==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T19:54:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:55:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:56:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:57:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:58:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:59:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:00:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:01:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:02:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:03:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:04:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:05:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:06:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:07:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:08:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:09:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:10:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:11:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:12:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:13:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:14:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:15:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:16:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:17:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:18:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T20:19:46+00:00] GPU free=5089 MiB (need >= 35000)
[2026-08-10T20:20:46+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:21:47+00:00] GPU free=2277 MiB (need >= 35000)
[2026-08-10T20:22:47+00:00] GPU free=2277 MiB (need >= 35000)
[2026-08-10T20:23:47+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:24:47+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:25:47+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:26:47+00:00] GPU free=3377 MiB (need >= 35000)
[2026-08-10T20:27:47+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T20:28:47+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T20:29:47+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T20:30:47+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T20:31:47+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T20:32:47+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T20:33:47+00:00] GPU free=6001 MiB (need >= 35000)
